"Year","Occupation","Total_Number","Men_Number","Women_Number","Total_MedianEarnings","Men_MedianEarnings","Women_MedianEarnings"
2015,"Structural metal fabricators and fitters",23979,22782,1197,38770,39734,25383
2015,"Miscellaneous assemblers and fabricators",830300,530817,299483,31459,33617,27839
2015,"Bakers",139172,69408,69764,24833,26200,23243
2015,"Butchers and other meat, poultry, and fish processing workers",207420,163796,43624,28372,30533,23870
2015,"Food and tobacco roasting, baking, and drying machine operators and tenders",8298,5909,2389,30587,32077,22152
2015,"Food batchmakers",64716,30666,34050,27198,31260,24809
2015,"Food cooking machine operators and tenders",5350,2975,2375,26943,30690,22426
2015,"Food processing workers, all other",107115,70277,36838,31329,32363,27909
2015,"Computer control programmers and operators",84644,79265,5379,42704,44321,32993
2015,"Extruding and drawing machine setters, operators, and tenders, metal and plastic",10559,9524,1035,38439,38872,30221
2015,"Forging machine setters, operators, and tenders, metal and plastic",7310,6834,476,38750,40165,31984
2015,"Rolling machine setters, operators, and tenders, metal and plastic",8714,6834,1880,45319,46069,36277
2015,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",75548,63620,11928,33733,35538,27252
2015,"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",1355,1275,80,38397,40038,28333
2015,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",42811,39536,3275,33574,34601,31659
2015,"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",7178,6433,745,37629,40088,27254
2015,"Milling and planing machine setters, operators, and tenders, metal and plastic",1578,1399,179,30927,30942,30864
2015,"Machinists",306776,294514,12262,45930,46405,31772
2015,"Metal furnace operators, tenders, pourers, and casters",21398,19251,2147,41843,42124,39157
2015,"Model makers and patternmakers, metal and plastic",4131,3153,978,45616,50200,22862
2015,"Molders and molding machine setters, operators, and tenders, metal and plastic",34976,30499,4477,36573,37377,32270
2015,"Multiple machine tool setters, operators, and tenders, metal and plastic",3604,3180,424,38750,41765,29745
2015,"Tool and die makers",52096,50184,1912,55475,56431,27805
2015,"Welding, soldering, and brazing workers",514255,489580,24675,40548,40878,30839
2015,"Heat treating equipment setters, operators, and tenders, metal and plastic",5102,4658,444,46967,50127,28353
2015,"Layout workers, metal and plastic",5753,5241,512,43294,45075,39521
2015,"Plating and coating machine setters, operators, and tenders, metal and plastic",14348,13296,1052,35293,34847,41088
2015,"Metal workers and plastic workers, all other",336630,262100,74530,33848,36355,26844
2015,"Prepress technicians and workers",19214,12215,6999,36428,37700,35295
2015,"Printing workers, except prepress technicians and workers",162921,127798,35123,35323,37388,27474
2015,"Laundry and dry-cleaning workers",121900,52495,69405,22331,27141,20277
2015,"Pressers, textile, garment, and related materials",27312,10165,17147,21936,31669,19658
2015,"Sewing machine operators",131070,37666,93404,21839,24565,21306
2015,"Shoe and leather workers and repairers",6640,5357,1283,29370,29059,30127
2015,"Shoe machine operators and tenders",2950,1787,1163,24644,29264,21450
2015,"Tailors, dressmakers, and sewers",43544,12214,31330,25443,32682,23077
2015,"Textile bleaching and dyeing machine operators and tenders",2451,1737,714,31399,30335,35228
2015,"Textile cutting machine setters, operators, and tenders",5925,4512,1413,24248,25278,23010
2015,"Textile knitting and weaving machine setters, operators, and tenders",7156,4143,3013,24854,24779,25041
2015,"Textile winding, twisting, and drawing out machine setters, operators, and tenders",11708,4278,7430,25963,26855,25650
2015,"Fabric and apparel patternmakers",1816,337,1479,58625,32035,70372
2015,"Upholsterers",25446,22552,2894,30621,31151,24594
2015,"Miscellaneous textile, apparel, and furnishings workers, including extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",12398,7625,4773,28159,29200,26210
2015,"Cabinetmakers and bench carpenters",39703,36941,2762,32256,33558,22878
2015,"Furniture finishers",10789,8424,2365,28713,29104,26948
2015,"Sawing machine setters, operators, and tenders, wood",26791,25142,1649,30040,30279,22262
2015,"Woodworking machine setters, operators, and tenders, except sawing",13443,10493,2950,25849,27185,21578
2015,"Miscellaneous woodworkers, including model makers and patternmakers",22696,21232,1464,32156,33192,25679
2015,"Power plant operators, distributors, and dispatchers",45276,42380,2896,90725,90941,84802
2015,"Stationary engineers and boiler operators",81300,78937,2363,56459,56675,50848
2015,"Water and wastewater treatment plant and system operators",74759,69777,4982,50262,50423,45590
2015,"Miscellaneous plant and system operators",42261,39992,2269,61883,62128,60079
2015,"Chemical processing machine setters, operators, and tenders",48836,44149,4687,50240,50363,44090
2015,"Crushing, grinding, polishing, mixing, and blending workers",76006,68607,7399,36668,37187,30257
2015,"Cutting workers",49997,38757,11240,30116,31267,25598
2015,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",22120,18586,3534,32536,34123,26544
2015,"Furnace, kiln, oven, drier, and kettle operators and tenders",12433,10440,1993,39520,39695,29844
2015,"Inspectors, testers, sorters, samplers, and weighers",643756,417655,226101,41090,46862,32112
2015,"Jewelers and precious stone and metal workers",27793,18918,8875,32094,36175,26355
2015,"Medical, dental, and ophthalmic laboratory technicians",61143,28007,33136,33686,39462,31402
2015,"Packaging and filling machine operators and tenders",199896,93325,106571,25736,29335,23523
2015,"Painting workers",127684,116181,11503,33484,35208,25261
2015,"Photographic process workers and processing machine operators",18581,10055,8526,31876,40222,26546
2015,"Semiconductor processors",2819,1664,1155,43059,62637,32948
2015,"Adhesive bonding machine operators and tenders",6852,4823,2029,35479,39373,27324
2015,"Cleaning, washing, and metal pickling equipment operators and tenders",4471,2917,1554,22363,25339,21754
2015,"Cooling and freezing equipment operators and tenders",2013,1689,324,34580,33088,70515
2015,"Etchers and engravers",7020,4471,2549,30770,32116,30090
2015,"Molders, shapers, and casters, except metal and plastic",24236,21710,2526,31261,31812,26375
2015,"Paper goods machine setters, operators, and tenders",18859,15531,3328,36923,40138,26693
2015,"Tire builders",13082,11555,1527,44488,43854,52037
2015,"Helpers--production workers",28476,22505,5971,27299,30720,20670
2015,"Production workers, all other",1012384,748271,264113,33905,37051,26948
2015,"Transportation and Material Moving Occupations",6498781,5641758,857023,36283,37486,27072
2015,"Transportation Occupations",3927349,3535497,391852,41549,42204,31533
2015,"Supervisors of transportation and material moving workers",191955,152014,39941,50083,51175,40475
2015,"Aircraft pilots and flight engineers",96406,91827,4579,100744,101122,67089
2015,"Air traffic controllers and airfield operations specialists",33438,27537,5901,91165,93508,61448
2015,"Flight attendants",50153,13383,36770,47492,51523,46447
2015,"Ambulance drivers and attendants, except emergency medical technicians",8277,7038,1239,27459,27305,28472
2015,"Bus drivers",288778,174214,114564,32398,38072,27095
2015,"Driver/sales workers and truck drivers",2644153,2526258,117895,41834,42127,30962
2015,"Taxi drivers and chauffeurs",265304,230682,34622,27420,28025,25519
2015,"Motor vehicle operators, all other",19406,17681,1725,26376,26655,23368
2015,"Locomotive engineers and operators",41443,40390,1053,88235,89171,77242
2015,"Railroad brake, signal, and switch operators",4928,4552,376,60761,59383,61895
2015,"Railroad conductors and yardmasters",45382,41828,3554,70810,71385,57074
2015,"Subway, streetcar, and other rail transportation workers",13012,11881,1131,61449,61611,42346
2015,"Sailors and marine oilers",16111,15589,522,50298,50609,30976
2015,"Ship and boat captains and operators",28620,25685,2935,74061,76969,37225
2015,"Parking lot attendants",43949,38026,5923,24167,24822,21547
2015,"Automotive and watercraft service attendants",53855,46788,7067,22502,22632,21986
2015,"Transportation inspectors",41392,36465,4927,54918,57121,36359
2015,"Transportation attendants, except flight attendants",13589,8291,5298,27786,40527,21236
2015,"Other transportation workers",19745,18016,1729,37731,37714,37969
2015,"Material Moving Occupations",2571432,2106261,465171,30254,31092,24835
2015,"Conveyor operators and tenders",4294,3342,952,39835,41020,27883
2015,"Crane and tower operators",53870,52684,1186,60192,60219,51406
2015,"Dredge, excavating, and loading machine operators",27041,26837,204,40540,40613,27024
2015,"Hoist and winch operators",6082,5846,236,47994,48378,19821
2015,"Industrial truck and tractor operators",485176,447589,37587,31800,31772,32105
2015,"Cleaners of vehicles and equipment",224675,195370,29305,24242,24341,23666
2015,"Laborers and freight, stock, and material movers, hand",1331155,1116110,215045,30536,31178,25986
2015,"Machine feeders and offbearers",18459,11194,7265,24902,25841,22075
2015,"Packers and packagers, hand",285020,122856,162164,22713,24795,21675
2015,"Pumping station operators",23091,22340,751,54503,56109,35863
2015,"Refuse and recyclable material collectors",69740,63353,6387,30661,31034,24589
2015,"Material moving workers, all other",37448,33399,4049,36931,37696,31959
2016,"Chief executives",1068258,813898,254360,130266,141108,103564
2016,"General and operations managers",834005,588111,245894,70686,76246,56906
2016,"Legislators",13966,7431,6535,65592,67233,63788
2016,"Advertising and promotions managers",42996,17752,25244,67082,79594,61173
2016,"Marketing and sales managers",843840,464995,378845,82357,100137,69079
2016,"Public relations and fundraising managers",51121,16705,34416,77835,84016,75260
2016,"Administrative services managers",136431,82550,53881,64208,69788,60177
2016,"Computer and information systems managers",564747,413250,151497,103513,107411,95603
2016,"Financial managers",1067163,506068,561095,76178,100505,62089
2016,"Compensation and benefits managers",17074,4254,12820,71605,93895,70251
2016,"Human resources managers",369518,143842,225676,72008,77463,70342
2016,"Training and development managers",49960,23959,26001,72153,82392,64686
2016,"Industrial production managers",220263,176191,44072,76077,77262,70073
2016,"Purchasing managers",181255,94445,86810,76501,82307,70023
2016,"Transportation, storage, and distribution managers",222794,182671,40123,52485,52318,54796
2016,"Farmers, ranchers, and other agricultural managers",451680,400989,50691,41404,42190,30405
2016,"Construction managers",573250,528329,44921,71331,71907,62218
2016,"Education administrators",747962,282062,465900,70748,80380,64509
2016,"Architectural and engineering managers",144812,131956,12856,130293,130300,130255
2016,"Food service managers",792807,436773,356034,38380,42601,31861
2016,"Funeral service managers",5733,4173,1560,60848,60487,61597
2016,"Gaming managers",15477,10129,5348,55674,56664,52872
2016,"Lodging managers",107568,50893,56675,45875,51697,41285
2016,"Medical and health services managers",606615,176012,430603,71739,87311,66855
2016,"Natural sciences managers",17916,8464,9452,92161,111817,76768
2016,"Postmasters and mail superintendents",20947,11398,9549,71429,72401,67745
2016,"Property, real estate, and community association managers",459115,233710,225405,51957,61797,46405
2016,"Social and community service managers",296269,91027,205242,56610,68388,52444
2016,"Emergency management directors",7304,5663,1641,68834,68407,70337
2016,"Managers, all other",3758629,2472383,1286246,78843,84600,67769
2016,"Business and Financial Operations Occupations",6123442,2814981,3308461,63511,74011,56897
2016,"Agents and business managers of artists, performers, and athletes",33337,17328,16009,51728,55328,50761
2016,"Buyers and purchasing agents, farm products",7795,5584,2211,66349,69214,57352
2016,"Wholesale and retail buyers, except farm products",139871,71088,68783,41625,41612,41637
2016,"Purchasing agents, except wholesale, retail, and farm products",253717,122410,131307,54740,60366,51121
2016,"Claims adjusters, appraisers, examiners, and investigators",271129,105531,165598,52582,60840,50024
2016,"Compliance officers",226344,107204,119140,69262,73211,64588
2016,"Cost estimators",122804,105522,17282,63106,65805,49752
2016,"Human resources workers",678049,188438,489611,57369,66412,54975
2016,"Compensation, benefits, and job analysis specialists",47978,10731,37247,54108,62886,51522
2016,"Training and development specialists",111303,50284,61019,58739,65332,52456
2016,"Logisticians",117328,77464,39864,52260,55233,50220
2016,"Management analysts",630863,369877,260986,83080,91169,76338
2016,"Meeting, convention, and event planners",96349,24116,72233,46598,42729,47221
2016,"Fundraisers",68581,20709,47872,66048,77186,64272
2016,"Market research analysts and marketing specialists",237008,103644,133364,70985,82565,64398
2016,"Business operations specialists, all other",236553,110674,125879,61811,73014,52499
2016,"Accountants and auditors",1628824,656553,972271,63740,76129,57370
2016,"Appraisers and assessors of real estate",73690,50409,23281,60533,62298,50291
2016,"Budget analysts",42410,16123,26287,71237,75399,68955
2016,"Credit analysts",26382,12589,13793,53909,58520,51419
2016,"Financial analysts",194932,117808,77124,82415,93203,73427
2016,"Personal financial advisors",327459,231444,96015,91150,101634,69479
2016,"Insurance underwriters",98194,36949,61245,61197,73389,56465
2016,"Financial examiners",14812,7827,6985,79594,85285,70328
2016,"Credit counselors and loan officers",292543,132203,160340,59219,76686,50325
2016,"Tax examiners and collectors, and revenue agents",42395,15901,26494,51797,61586,50296
2016,"Tax preparers",55325,23690,31635,55336,70019,48033
2016,"Financial specialists, all other",47467,22881,24586,61271,85274,50828
2016,"Computer, Engineering, and Science Occupations",7336002,5591448,1744554,80279,82347,70044
2016,"Computer and Mathematical Occupations",3884352,2925768,958584,81760,85427,72472
2016,"Computer and information research scientists",16406,13203,3203,101205,102464,90480
2016,"Computer systems analysts",448325,267043,181282,80219,85192,72409
2016,"Information security analysts",74659,60291,14368,91119,93450,85895
2016,"Computer programmers",370512,293334,77178,85795,87064,80528
2016,"Software developers, applications and systems software",1124661,918865,205796,100760,101969,88759
2016,"Web developers",138048,92611,45437,63173,67356,56860
2016,"Computer support specialists",553718,418848,134870,58027,60363,52699
2016,"Database administrators",99602,62319,37283,81082,90749,60838
2016,"Network and computer systems administrators",192293,157000,35293,73483,74896,69127
2016,"Computer network architects",92872,86504,6368,98374,98123,100471
2016,"Computer occupations, all other",569272,445016,124256,70492,71112,66521
2016,"Actuaries",25197,17769,7428,108576,125465,92500
2016,"Mathematicians",1288,1035,253,121912,130431,81991
2016,"Operations research analysts",126989,63903,63086,81092,85955,76005
2016,"Statisticians",47469,26411,21058,81345,82414,80027
2016,"Miscellaneous mathematical science occupations",3041,1616,1425,66960,85022,46676
2016,"Architecture and Engineering Occupations",2437331,2095090,342241,81125,82192,71072
2016,"Architects, except naval",157568,119954,37614,76154,81075,61765
2016,"Surveyors, cartographers, and photogrammetrists",27429,22619,4810,61119,62390,55812
2016,"Aerospace engineers",114956,102611,12345,102350,104133,91982
2016,"Biomedical engineers",12988,10977,2011,82150,82307,80583
2016,"Chemical engineers",57812,46688,11124,100425,101626,84137
2016,"Civil engineers",311007,271698,39309,86606,89218,75052
2016,"Computer hardware engineers",48767,42855,5912,93870,95911,90712
2016,"Electrical and electronics engineers",186214,171539,14675,96538,98702,81370
2016,"Environmental engineers",27552,19945,7607,80421,81736,75468
2016,"Industrial engineers, including health and safety",183615,145311,38304,79761,80491,75753
2016,"Marine engineers and naval architects",10619,9501,1118,90840,91898,80611
2016,"Materials engineers",34668,31741,2927,81420,81479,80865
2016,"Mechanical engineers",245579,228477,17102,84486,84537,84034
2016,"Mining and geological engineers, including mining safety engineers",8540,7389,1151,93125,95068,92216
2016,"Nuclear engineers",6902,5756,1146,95190,96151,74659
2016,"Petroleum engineers",22671,19383,3288,141359,150247,112500
2016,"Engineers, all other",471817,411849,59968,93058,95214,85464
2016,"Drafters",132332,110629,21703,52899,54290,50363
2016,"Engineering technicians, except drafters",319240,262975,56265,55953,58274,48448
2016,"Surveying and mapping technicians",55079,51382,3697,50071,50231,46731
2016,"Life, Physical, and Social Science Occupations",1014319,570590,443729,65257,70191,60646
2016,"Agricultural and food scientists",21091,13559,7532,70220,71570,64842
2016,"Biological scientists",65111,35893,29218,61171,65122,56853
2016,"Conservation scientists and foresters",18235,14086,4149,60447,60340,60827
2016,"Medical scientists",116550,54653,61897,74534,80827,71175
2016,"Life scientists, all other",4116,2467,1649,65765,81388,54712
2016,"Astronomers and physicists",9881,7669,2212,93935,101448,68105
2016,"Atmospheric and space scientists",10037,8609,1428,90434,91465,84167
2016,"Chemists and materials scientists",77023,49013,28010,70594,75433,63426
2016,"Environmental scientists and geoscientists",63449,42834,20615,72831,79279,60315
2016,"Physical scientists, all other",192236,115118,77118,77439,87134,65913
2016,"Economists",21747,15164,6583,109562,111514,103723
2016,"Survey researchers",1453,423,1030,64230,23794,64931
2016,"Psychologists",121887,37701,84186,72789,90586,69134
2016,"Urban and regional planners",21747,12910,8837,70647,74634,65309
2016,"Miscellaneous social scientists and related workers, including sociologists",24486,12996,11490,61924,67455,57068
2016,"Agricultural and food science technicians",27668,16564,11104,45039,48340,40927
2016,"Biological technicians",16216,8401,7815,49041,50495,44796
2016,"Chemical technicians",56741,40491,16250,52188,54898,48580
2016,"Geological and petroleum technicians",12268,9465,2803,71250,71414,70152
2016,"Nuclear technicians",3432,3144,288,84688,87628,78893
2016,"Social science research assistants",1723,219,1504,41644,50617,41419
2016,"Miscellaneous life, physical, and social science technicians",127222,69211,58011,42673,45323,41614
2016,"Education, Legal, Community Service, Arts, and Media Occupations",10566994,3984993,6582001,50890,59998,47103
2016,"Community and Social Service Occupations",1965931,706430,1259501,44265,45984,42947
2016,"Counselors",536072,148955,387117,45356,46279,45007
2016,"Social workers",704192,133995,570197,44669,44973,44603
2016,"Probation officers and correctional treatment specialists",81680,37849,43831,48545,48620,48480
2016,"Social and human service assistants",146414,32813,113601,37732,39459,37450
2016,"Miscellaneous community and social service specialists, including health educators and community health workers",63963,21744,42219,45512,49319,42490
2016,"Clergy",347581,291732,55849,45502,46282,41571
2016,"Directors, religious activities and education",45090,20243,24847,44160,51925,40845
2016,"Religious workers, all other",40939,19099,21840,35551,37461,32408
2016,"Legal Occupations",1405105,682419,722686,86747,121654,65014
2016,"Lawyers",891088,568630,322458,122073,136043,102484
2016,"Judicial law clerks",10323,3490,6833,55882,56766,52494
2016,"Judges, magistrates, and other judicial workers",58544,32986,25558,102861,125071,80807
2016,"Paralegals and legal assistants",318793,43287,275506,47223,49198,47073
2016,"Miscellaneous legal support workers",126357,34026,92331,50997,66459,46470
2016,"Education, Training, and Library Occupations",5348821,1547041,3801780,49619,56876,46403
2016,"Postsecondary teachers",881345,470888,410457,67145,74485,61169
2016,"Preschool and kindergarten teachers",339677,6755,332922,25124,29102,25021
2016,"Elementary and middle school teachers",2398445,530970,1867475,50659,53096,50021
2016,"Secondary school teachers",536264,231158,305106,52671,55800,51608
2016,"Special education teachers",178054,25632,152422,48840,49953,48703
2016,"Other teachers and instructors",356475,167249,189226,45426,51439,40544
2016,"Archivists, curators, and museum technicians",36260,13889,22371,48374,52835,45296
2016,"Librarians",115076,23238,91838,51429,57961,50671
2016,"Library technicians",11386,2235,9151,31228,45951,28397
2016,"Teacher assistants",421376,53389,367987,22682,31063,22095
2016,"Other education, training, and library workers",74463,21638,52825,52790,59582,51638
2016,"Arts, Design, Entertainment, Sports, and Media Occupations",1847137,1049103,798034,51760,55625,48440
2016,"Artists and related workers",121771,76519,45252,45124,51669,36922
2016,"Designers",628865,328481,300384,51768,60035,46516
2016,"Actors",14423,8254,6169,41201,43425,36214
2016,"Producers and directors",121999,77794,44205,68571,71577,62435
2016,"Athletes, coaches, umpires, and related workers",123505,91380,32125,46393,49152,41270
2016,"Dancers and choreographers",6556,1468,5088,31342,51586,24844
2016,"Musicians, singers, and related workers",66779,51875,14904,41300,41521,40399
2016,"Entertainers and performers, sports and related workers, all other",18325,11738,6587,39303,41549,31670
2016,"Announcers",26152,19879,6273,45767,45883,45062
2016,"News analysts, reporters and correspondents",57202,31972,25230,55372,58457,50435
2016,"Public relations specialists",103540,35880,67660,65386,77116,61547
2016,"Editors",125387,64120,61267,55140,57665,52078
2016,"Technical writers",47360,19792,27568,71388,73800,70139
2016,"Writers and authors",132235,57364,74871,55464,58065,52347
2016,"Miscellaneous media and communication workers",54009,20909,33100,42255,47608,41197
2016,"Miscellaneous media and communications equipment workers, including broadcast and sound engineering technicians and radio operators",70806,66356,4450,52335,54586,46794
2016,"Photographers",90481,54402,36079,36504,41275,31254
2016,"Television, video, and motion picture camera operators and editors",37742,30920,6822,51138,51388,50355
2016,"Healthcare Practitioners and Technical Occupations",6558946,1806655,4752291,61813,81023,58404
2016,"Chiropractors",40960,31857,9103,80466,86586,57522
2016,"Dentists",93294,65998,27296,150132,158810,115473
2016,"Dietitians and nutritionists",70729,8095,62634,49841,47439,49886
2016,"Optometrists",27134,18087,9047,117397,125489,101000
2016,"Pharmacists",214665,97539,117126,120878,122351,118461
2016,"Physicians and surgeons",743383,489748,253635,201542,231420,166388
2016,"Physician assistants",76018,27869,48149,101940,111673,100434
2016,"Podiatrists",6093,5140,953,126617,140350,101644
2016,"Audiologists",11195,2186,9009,72760,74127,72123
2016,"Occupational therapists",72099,9813,62286,70679,80834,70044
2016,"Physical therapists",162536,60163,102373,77605,85149,74555
2016,"Radiation therapists",10165,3289,6876,88073,95008,79488
2016,"Recreational therapists",10160,3072,7088,40040,41037,38967
2016,"Respiratory therapists",92125,37338,54787,56532,61280,52583
2016,"Speech-language pathologists",87443,4661,82782,63532,75360,62734
2016,"Miscellaneous therapists, including exercise physiologists",107797,25250,82547,50208,52202,48955
2016,"Veterinarians",65797,26912,38885,90063,103622,82228
2016,"Registered nurses",2317493,281048,2036445,65331,70952,64413
2016,"Nurse anesthetists",26253,10941,15312,160522,176957,151667
2016,"Nurse practitioners",116166,14128,102038,100639,111130,100030
2016,"Health diagnosing and treating practitioners, all other",13264,5463,7801,55718,65898,51087
2016,"Clinical laboratory technologists and technicians",245278,68887,176391,48170,51112,46984
2016,"Dental hygienists",71498,4845,66653,56632,70807,55946
2016,"Diagnostic related technologists and technicians",263276,88369,174907,58828,64560,55958
2016,"Emergency medical technicians and paramedics",167315,114281,53034,42373,46301,39941
2016,"Health practitioner support technologists and technicians",440607,98824,341783,32466,36093,32093
2016,"Licensed practical and licensed vocational nurses",602316,77484,524832,38946,40939,38523
2016,"Medical records and health information technicians",148302,14938,133364,38273,37208,38404
2016,"Opticians, dispensing",48366,14044,34322,37389,50622,35058
2016,"Miscellaneous health technologists and technicians",97277,36999,60278,41207,51118,36438
2016,"Other healthcare practitioners and technical occupations",105941,59387,46554,57179,61968,52594
2016,"Healthcare Support Occupations",2205309,320622,1884687,28085,31269,27470
2016,"Nursing, psychiatric, and home health aides",1256050,174528,1081522,26056,29503,25706
2016,"Occupational therapy assistants and aides",13820,2179,11641,51182,60709,49665
2016,"Physical therapist assistants and aides",59281,19380,39901,45826,48915,42677
2016,"Massage therapists",67798,16699,51099,30766,30833,30739
2016,"Dental assistants",167955,13096,154859,31226,32231,31161
2016,"Medical assistants",382920,35341,347579,30549,32083,30418
2016,"Medical transcriptionists",20559,1615,18944,33597,40995,33161
2016,"Pharmacy aides",21617,5064,16553,30505,36481,29651
2016,"Veterinary assistants and laboratory animal caretakers",28193,6400,21793,26441,35501,25095
2016,"Phlebotomists",82446,12560,69886,31121,30925,31160
2016,"Healthcare support workers, all other, including medical equipment preparers",104670,33760,70910,30124,31812,28592
2016,"Protective Service Occupations",2516945,2036431,480514,50773,52217,41504
2016,"First-line supervisors of correctional officers",55565,39893,15672,51570,53611,48621
2016,"First-line supervisors of police and detectives",100335,84933,15402,79259,81092,70191
2016,"First-line supervisors of fire fighting and prevention workers",44941,43233,1708,90571,90912,85270
2016,"First-line supervisors of protective service workers, all other",66575,49742,16833,49305,46609,54717
2016,"Firefighters",265198,253361,11837,67598,68680,51926
2016,"Fire inspectors",19259,17157,2102,60006,60447,51104
2016,"Bailiffs, correctional officers, and jailers",375720,277833,97887,44807,47005,39834
2016,"Detectives and criminal investigators",112869,85853,27016,76604,81253,61821
2016,"Fish and game wardens",4716,3820,896,52265,55234,47351
2016,"Parking enforcement workers",4730,2329,2401,39298,41625,38221
2016,"Police and sheriff patrol officers",669550,582716,86834,62852,64792,57402
2016,"Animal control workers",9987,5824,4163,33303,34833,32219
2016,"Private detectives and investigators",70181,38879,31302,56272,61192,49673
2016,"Security guards and gaming surveillance officers",647922,505565,142357,30422,30724,28889
2016,"Crossing guards",10864,6311,4553,32538,31130,36219
2016,"Transportation security screeners",33438,22782,10656,41793,43027,40534
2016,"Lifeguards and other recreational, and all other protective service workers",24348,15453,8895,30979,36282,21087
2016,"Food Preparation and Serving Related Occupations",3769365,2027036,1742329,22544,24935,21224
2016,"Chefs and head cooks",346683,276631,70052,31461,32240,27651
2016,"First-line supervisors of food preparation and serving workers",409285,190025,219260,25713,29657,22979
2016,"Cooks",1201892,775087,426805,21756,22575,20320
2016,"Food preparation workers",347692,155856,191836,20506,21359,19894
2016,"Bartenders",226847,115120,111727,29375,31277,26017
2016,"Combined food preparation and serving workers, including fast food",141425,52096,89329,20518,20728,20369
2016,"Counter attendants, cafeteria, food concession, and coffee shop",32438,12016,20422,19179,21885,17398
2016,"Waiters and waitresses",734635,263439,471196,22252,25855,21182
2016,"Food servers, nonrestaurant",76030,28696,47334,24489,27481,23021
2016,"Dining room and cafeteria attendants and bartender helpers",91150,56105,35045,21276,22449,18832
2016,"Dishwashers",110513,91810,18703,19808,19848,19550
2016,"Hosts and hostesses, restaurant, lounge, and coffee shop",46117,7311,38806,19751,22335,19022
2016,"Food preparation and serving related workers, all other",4658,2844,1814,20199,20559,19202
2016,"Building and Grounds Cleaning and Maintenance Occupations",3516387,2331552,1184835,26420,30043,21933
2016,"First-line supervisors of housekeeping and janitorial workers",173482,117566,55916,36399,41024,28875
2016,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",128673,121311,7362,40635,40774,36184
2016,"Janitors and building cleaners",1553626,1136790,416836,27742,30654,22962
2016,"Maids and housekeeping cleaners",790133,128212,661921,21476,25788,21000
2016,"Pest control workers",68409,65344,3065,37802,37805,37420
2016,"Grounds maintenance workers",802064,762329,39735,25708,25838,22944
2016,"Personal Care and Service Occupations",2738373,681749,2056624,25119,30831,23318
2016,"First-line supervisors of gaming workers",18772,11389,7383,45671,50429,41069
2016,"First-line supervisors of personal service workers",74093,25605,48488,32240,41425,30569
2016,"Animal trainers",29055,14018,15037,29978,34134,26578
2016,"Nonfarm animal caretakers",120981,34640,86341,25210,30133,23724
2016,"Gaming services workers",61881,34548,27333,39726,41137,36013
2016,"Motion picture projectionists",1303,1065,238,48374,49900,21932
2016,"Ushers, lobby attendants, and ticket takers",6511,3855,2656,28929,30020,27430
2016,"Miscellaneous entertainment attendants and related workers",57391,31464,25927,25263,27418,21946
2016,"Embalmers and funeral attendants",6580,5293,1287,29048,28629,29681
2016,"Morticians, undertakers, and funeral directors",30549,22471,8078,51310,52119,42161
2016,"Barbers",68864,56579,12285,25416,26320,21195
2016,"Hairdressers, hairstylists, and cosmetologists",447533,52211,395322,26146,31601,25636
2016,"Miscellaneous personal appearance workers",206248,34993,171255,23474,26356,22777
2016,"Baggage porters, bellhops, and concierges",60412,47690,12722,31604,33549,27122
2016,"Tour and travel guides",18870,11893,6977,30693,31305,29836
2016,"Childcare workers",551286,34354,516932,21395,25324,21212
2016,"Personal care aides",692735,132541,560194,22578,25856,22159
2016,"Recreation and fitness workers",184743,79514,105229,31582,35050,30284
2016,"Residential advisors",26803,10295,16508,28627,30144,27901
2016,"Personal care and service workers, all other",73763,37331,36432,26185,27148,24883
2016,"Sales and Related Occupations",10085935,5907517,4178418,43647,51791,34226
2016,"First-line supervisors of retail sales workers",2677578,1537529,1140049,40573,46343,33778
2016,"First-line supervisors of non-retail sales workers",1074798,748785,326013,65016,67434,58166
2016,"Cashiers",1019364,293166,726198,21000,22413,20482
2016,"Counter and rental clerks",52412,30604,21808,31285,35907,25780
2016,"Parts salespersons",92199,83465,8734,35832,36526,30509
2016,"Retail salespersons",1716984,1047929,669055,32480,40116,26781
2016,"Advertising sales agents",148263,72790,75473,61018,66149,56104
2016,"Insurance sales agents",442385,232516,209869,51364,62412,42316
2016,"Securities, commodities, and financial services sales agents",199539,142840,56699,91885,115432,58726
2016,"Travel agents",49901,11210,38691,41744,46173,40707
2016,"Sales representatives, services, all other",534512,368392,166120,66475,71706,56236
2016,"Sales representatives, wholesale and manufacturing",1182664,878257,304407,65716,70464,54077
2016,"Models, demonstrators, and product promoters",12940,4816,8124,31463,42193,28908
2016,"Real estate brokers and sales agents",576380,278623,297757,57486,69512,50662
2016,"Sales engineers",35706,33085,2621,111522,113110,80101
2016,"Telemarketers",41866,16569,25297,25732,27152,25125
2016,"Door-to-door sales workers, news and street vendors, and related workers",49513,25691,23822,30475,35417,25753
2016,"Sales and related workers, all other",178931,101250,77681,54472,61262,48884
2016,"Office and Administrative Support Occupations",13475419,3953161,9522258,36290,40053,35548
